CourseLink,room_link
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185226&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185226&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185226&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185226&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185226&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185226&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A48&semester=2017S,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=H11
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F7
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F7
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185330&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8
