Room_URI	Room	Capacity	Institute	Approval Mode	Availability	Building	Address	Room Number
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WA02A19	Seminarraum 280/1	60	E280	via TISS	Verfügbar bis 30.06.18 00:00	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU 2.OG	WA 02 A19
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WB02A23	Seminarraum 280/2	72	E280	via TISS	Verfügbar bis 30.06.18 00:00	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU 2.OG	WB 02 A23
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SR+3%2F2	Seminarraum 3/2	0	E401	persönlich	Nicht mehr Verfügbar	Perlmooser-Haus	Operngasse 11,	DF0208
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=2533	Seminarraum 3/253	20	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13, Stiege 7	AFDG22
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WD02A02	Seminarraum 3/4	42	E280	via TISS	Verfügbar bis 30.06.18 00:00	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU 2.OG	WA 02 A02
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=351	Seminarraum 351	36	E354	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1	CA0138
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=354	Seminarraum 354	20	E354	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 8	CF0153
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=362	Seminarraum 362	30		persönlich	Verfügbar	Institutsgebäude	Floragasse 7,	GA01A15
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=3621	Seminarraum 362/1	10	E362	via TISS	Verfügbar	Institutsgebäude	Floragasse 7, Floragasse 7, 1. Stock	GA01K09
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=366M	Seminarraum 366-MST	30	E366	persönlich	Verfügbar	Institutsgebäude	Floragasse 7, 2. Stock	GA02A12
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=384	Seminarraum 384	36	E384	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29,	CD0404
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=387	Seminarraum 387	30	E387	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 2, Erdgeschoß	CBEG02
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SR+4%2F2	Seminarraum 4/2	0	E401	persönlich	Nicht mehr Verfügbar	Perlmooser-Haus	Operngasse 11,	DF0212
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=WC02A23	Seminarraum 4/2	70	E280	via TISS	Verfügbar bis 30.06.18 00:00	Alte Wirtschaftsuniversität Wien (WUW)	Augasse 2-6, WU 2.OG	WC02A23
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=2534	Seminarraum 4/253	20	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13, Stiege 7, Dachgeschoß	AFDG18
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=5260	Seminarraum 5/260	20	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13, Karlsplatz 13, Stiege 7	AFDG14
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=S6	Seminarraum 6/253	20	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13,	AFDG10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=2537	Seminarraum 7/253	20	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13, Stiege 7	AFDG06
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=2503	Seminarraum 8	25	E006	via TISS	Verfügbar	Hauptgebäude	Karlsplatz 13, Hof 2, Stiege 7, ebenerdig	AHEG05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AIS	Seminarraum AI	25	E141	persönlich	Verfügbar	Atominstitut	Stadionallee 2,	ZDEG10
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG	Seminarraum Argentinierstrasse	70	E184	via TISS	Verfügbar	Institutsgebäude	Argentinierstr. 8, Argentinierstrasse 8 od. Paniglgasse, EG	EAEG06
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BA+02A	Seminarraum BA 02A	40	E164	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02G02
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BA+02B	Seminarraum BA 02B	70	E166	persönlich	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02A17
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BA+02C	Seminarraum BA 02C	20	E302	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02G08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMBA03	Seminarraum BA 03/ Sitzungszimmer Dekanat	30	E402	persönlich	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 3.OG	BA03A17
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BA+05	Seminarraum BA 05	40	E325	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 5.OG	BA05G02
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BA+08A	Seminarraum BA 08A	40	E322	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 8.OG	BA08G02
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BA+08B	Seminarraum BA 08B	30	E311	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 8.OG	BA08G08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SR+BA+10B	Seminarraum BA 10B	30	E315	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 10.OG	BA10G08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BAU1_ZID	Seminarraum BD 02	70	E307	via TISS	Verfügbar	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 2.OG	BD02B33
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEM+BD+02C	Seminarraum BD 02C	20	E308	via TISS	Verfügbar	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt,2.OG	BD02G28
